prefix	input_text	target_text
oEffect	PersonX explains the ___ on the basis	they gain knowledge
oEffect	PersonX gives PersonY medicine	Feels better
oEffect	PersonX awaits PersonY's return	PersonY thinks about PersonX
oEffect	PersonX goes play in the traffic	kills person X
oEffect	PersonX keeps PersonY safe	stays safe
oEffect	PersonX teaches PersonY the art	listens
oEffect	PersonX sells PersonY's wares	earns money
oEffect	PersonX feels PersonX's oats	persony is better off
oEffect	PersonX sees ] for details	they do their own work
oEffect	PersonX buys a gift card	Thanks PersonX
oEffect	PersonX pays PersonY dollars	profits
oEffect	PersonX guides PersonY even more forcefully onto	saves his life
oEffect	PersonX turns PersonY head	get pain in the neck
oEffect	PersonX rubs PersonY's temples	congragulated
oEffect	PersonX goes to the zoo with PersonX's family	see interesting things.
oEffect	PersonX makes ___ at school	A new person becomes acquainted with PersonX
oEffect	PersonX picks a fight	must fight or flight
oEffect	PersonX runs PersonX's ___ through PersonY's hair	ticklish
oEffect	PersonX complains to PersonY's mother	they tell them why
oEffect	PersonX gives PersonY proof	Accepts X's proof
oEffect	PersonX confiscates PersonY's property	lose the property
oEffect	PersonX forgets PersonY's list	Loses trust from clients
oEffect	PersonX names fred	fred learns name
oEffect	PersonX hits my head	suffers injury
oEffect	PersonX takes PersonY into custody	gets stabbed
oEffect	PersonX finds PersonY's family	are found
oEffect	PersonX espouses PersonY's cause	PersonY's cause is supported
oEffect	PersonX adjusts PersonX's ___ accordingly	Gets late
oEffect	PersonX brings PersonY's food	rest and relax
oEffect	PersonX talks to PersonY's mother	smiles
oEffect	PersonX offer PersonY opportunity	returns the favor
oEffect	PersonX gives ___ a refund	takes the money
oEffect	PersonX stretches PersonY's legs	give  a compliment in return
oEffect	PersonX pleases PersonY better	don't feel they need to try
oEffect	PersonX hopes would return	Avoids X
oEffect	PersonX gives ___ a huge hug	They leave the interaction more confident
oEffect	PersonX impresses everyone	driven to compete
oEffect	PersonX leads ___ to christ	they become apart of a group
oEffect	PersonX makes sure PersonY was okay	feels happy
oEffect	PersonX knows PersonY's stuff	become friends with PersonX
oEffect	PersonX uses ___ to represent	they learn
oEffect	PersonX gets PersonY order	PersonY returns the order he recieved
oEffect	PersonX saves a ___ from death	appreciative
oEffect	PersonX scratches PersonY's head	shouts at x angrily
oEffect	PersonX lets PersonY sleep	Muscles recover
oEffect	PersonX monitors and control ___	they get more done
oEffect	PersonX rushes to the hospital	person x is healed
oEffect	PersonX shows PersonX's true stripes	avoids them
oEffect	PersonX gives PersonY a kick	Person Y gets hurt
oEffect	PersonX later found out	TO POSSITIVE
oEffect	PersonX hits my head	lose conscience
oEffect	PersonX rescues PersonX's dog	persony smiles for a week
oEffect	PersonX plays rugby	they get dirty
oEffect	PersonX takes ___ to a mechanic	mechanic gets paid
oEffect	PersonX avoids eye contact	looks away
oEffect	PersonX knows everything about PersonY	scowls at PersonX
oEffect	PersonX steals PersonY's thunder	have less opportunity to shine
oEffect	PersonX closes it behind PersonY	stays dry
oEffect	PersonX is driving PersonY nuts	becomes stressed
oEffect	PersonX brings PersonY to the point	rolls his eyes
oEffect	PersonX supports PersonY's family	Receives money
oEffect	PersonX keeps a eye on PersonY	screams in shock
oEffect	PersonX sends PersonX's friend	PersonX's friend vows never to listen to PersonX again
oEffect	PersonX gives PersonY aid	PersonY is saved after receiving first aid
oEffect	PersonX loses PersonY's key	PersonY does not have keys to car
oEffect	PersonX uses PersonY number	Gets weird phone calls
oEffect	PersonX keeps ___ in PersonY's prayers	Becomes closer to God
oEffect	PersonX goes to the beach with PersonX's family	get hair wind blown.
oEffect	PersonX prevents ___ in the future	NONE
oEffect	PersonX opens PersonX's own business	personx can give jobs to othor persons
oEffect	PersonX says unto PersonY	responds
oEffect	PersonX serves PersonY's interests	time to go to the movies.
oEffect	PersonX tells PersonY to take	PersonY takes it
oEffect	PersonX offers to teach PersonY	shares knowledge
oEffect	PersonX cooks ___ on the stove	helps X cook
oEffect	PersonX manages PersonX's ___ in PersonY's way	maintains order
oEffect	PersonX prevents ___ to others	doesn't worry as much
oEffect	PersonX takes PersonY case	talks to Person X
oEffect	PersonX grabs PersonY's wrist	jumps in horror
oEffect	PersonX spends any money	whoever received the spent money becomes richer
oEffect	PersonX goes really well	0.01
oEffect	PersonX affords PersonY opportunity	get to obtain an experience
oEffect	PersonX brings up something more universal	they suggest other things to talk about
oEffect	PersonX rides PersonY's bike ___	watches
oEffect	PersonX starts yelling	call the police.
oEffect	PersonX tells PersonY to be quiet	stops talking
oEffect	PersonX takes the law into PersonX's hands	something is taken away
oEffect	PersonX plays catch with PersonY's dad	buys an icecream
oEffect	PersonX leads PersonX's team to victory	gets confident
oEffect	PersonX leaves ___ behind PersonY	gets tired
oEffect	PersonX puts PersonY on the table	Open mouth
oEffect	PersonX asks PersonY to explain	able to convey their concerns
oEffect	PersonX gives PersonY a gift card	they go shopping
oEffect	PersonX washes PersonY's disciples ' ___	PersonY's feet soften up
oEffect	PersonX writes PersonY a ticket	persony goes to court
oEffect	PersonX has an eye for ___	wants them to look at their work
oEffect	PersonX leaves PersonY's ___ behind	weapons become missing
oEffect	PersonX trains ___ to become	GET TIRED
oEffect	PersonX grabs PersonY's chest	Has their space invaded
oEffect	PersonX views the ___ differently	could change laws.
oEffect	PersonX drives PersonY's home	PersonY hugs PersonX
oEffect	PersonX follows PersonY around	Tries to avoid X
oEffect	PersonX gets the last laugh	Person Y apologizes
